mode,mu_log,sigma_log,weight,count,fraction,median_sec,mean_sec,mode_sec,std_sec,q05_sec,q95_sec
1,-2.1995619874148797,0.14517440379395902,0.15679415557145115,91,0.07356507679870655,0.11085170217079106,0.11202601211163221,0.10853988227921521,0.016349376734532888,0.08340026277433144,0.14733886279724936
2,-1.523408725800177,0.2026474117349307,0.36524896740964513,48,0.038803556992724336,0.21796762730953317,0.22248941777721057,0.20919787610952317,0.04555377372960484,0.14651936824681167,0.32425669809684965
3,-0.8226674606875185,0.16101744336743687,0.4779568770189037,0,0.0,0.43925838590168903,0.4449896959941855,0.4280162667248447,0.07211803913149414,0.3203754628173294,0.6022556405793522
