rank,mu_median_kHz,sigma_median_kHz,count
1,1.4853493035491812,0.08923399102450755,11
2,1.9289987480242514,0.07542447520489792,11
3,2.361918988299646,0.05066041245873427,11
4,2.725483848403148,0.05243789921480327,11
5,3.030956293331519,0.07537639273387599,11
6,3.4619963710510957,0.08572740512694144,11
7,3.8736019719061296,0.09174208958897874,11
8,4.718450315309172,0.15107978235915503,11
9,5.570609362504439,0.1554541729390922,11
10,6.709010127649111,0.18658398549328878,11
